Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#
1809119,3,3409578,3887884,1,1,1
1809119,3,3409579,3887885,2,2,1
1809229,3,3409765,3888073,1,1,1
1809229,3,0,3888074,2,,1
1809637,3,3410470,3888766,1,1,1
1810874,3,3412622,3890872,1,1,1
1810874,3,0,3890873,2,,1
1812266,3,3415030,3893223,1,1,1
1812266,3,3415031,3893224,2,2,1
1812266,3,3415031,3893225,3,2,2
1812266,3,3415032,3893226,4,3,1
1812266,3,3415033,3893227,5,4,1
1815964,3,3421313,3899543,1,1,1
1815964,3,3421314,3899544,2,2,1
1816804,3,3422688,3900916,1,1,1
1826266,3,3439374,3916978,1,1,1
1826266,3,3439374,3916979,2,1,2
1826266,3,3439375,3916980,3,2,1
1826321,3,3439466,3917101,1,1,1
1826321,3,3439467,3917102,2,2,1
1826321,3,3439467,3917103,3,2,2
1826490,3,3439761,3917488,1,1,1
1826513,3,3439797,3917534,1,1,1
1826513,3,3439798,3917535,2,2,1
1826513,3,3439799,3917536,3,3,1
1826513,3,3439799,3917537,4,3,2
1826673,3,3440070,3917894,1,1,1
1826673,3,0,3917895,2,,1
1826673,3,0,3917896,3,,2
1826673,3,0,3917897,4,,3
1826794,3,3440278,3918161,1,1,1
1826794,3,3440279,3918162,2,2,1
1826794,3,3440279,3918163,3,2,2
1826794,3,3440280,3918164,4,3,1
1826794,3,3440280,3918165,5,3,2
1826794,3,3440281,3918166,6,4,1
1826794,3,3440281,3918167,7,4,2
1826794,3,3440281,3918168,8,4,3
1826794,3,3440281,3918169,9,4,4
1826971,3,3440599,3918577,1,1,1
1826971,3,3440599,3918578,2,1,2
1826971,3,3440599,3918579,3,1,3
1826971,3,3440600,3918580,4,2,1
1827119,3,3440861,3918896,1,1,1
1827119,3,3440862,3918897,2,2,1
1827863,3,3442222,3920553,1,1,1
1827863,3,0,3920554,2,,1
1827872,3,3442235,3920571,1,1,1
1827907,3,3442305,3920650,1,1,1
1827907,3,3442306,3920651,2,2,1
1828231,3,3442919,3921428,1,1,1
1828231,3,3442920,3921429,2,2,1
1828287,3,3443029,3921575,1,1,1
1828287,3,3443030,3921576,2,2,1
1828314,3,3443074,3921628,1,1,1
1828373,3,3443178,3921755,1,1,1
1828373,3,3443179,3921756,2,2,1
1828552,3,3443504,3922161,1,1,1
1828552,3,3443505,3922162,2,2,1
1828709,3,3443834,3922555,1,1,1
1828709,3,3443835,3922556,2,2,1
1828709,3,3443836,3922557,3,3,1
1828977,3,3444351,3923159,1,1,1
1828977,3,3444352,3923160,2,2,1
1828982,3,3444361,3923171,1,1,1
1828982,3,3444362,3923172,2,2,1
1829693,3,3445767,3924865,1,1,1
1829693,3,3445767,3924866,2,1,2
1829718,3,3445819,3924926,1,1,1
1829718,3,3445820,3924927,2,2,1
1829755,3,3445889,3925006,1,1,1
1829763,3,3445902,3925020,1,1,1
1829763,3,3445903,3925021,2,2,1
1829763,3,3445903,3925022,3,2,2
1829797,3,3445962,3925088,1,1,1
1829797,3,3445963,3925089,2,2,1
1829853,3,3446070,3925212,1,1,1
1829853,3,3446071,3925213,2,2,1
1829853,3,3446071,3925214,3,2,2
1829867,3,3446098,3925245,1,1,1
1829867,3,3446099,3925246,2,2,1
1829871,3,3446106,3925253,1,1,1
1829928,3,3446228,3925398,1,1,1
1829928,3,3446228,3925399,2,1,2
1829928,3,3446228,3925400,3,1,3
1829928,3,3446229,3925401,4,2,1
1829928,3,3446229,3925402,5,2,2
1829928,3,3446229,3925403,6,2,3
1829928,3,3446229,3925404,7,2,4
1829983,3,3446340,3925538,1,1,1
1829988,3,3446354,3925559,1,1,1
1830030,3,3446435,3925651,1,1,1
1830030,3,3446436,3925652,2,2,1
1830030,3,3446436,3925653,3,2,2
1830030,3,3446436,3925654,4,2,3
1830038,3,3446451,3925671,1,1,1
1830046,3,3446464,3925686,1,1,1
1830165,3,3446710,3925984,1,1,1
1830165,3,3446710,3925985,2,1,2
1830217,3,3446808,3926096,1,1,1
1830217,3,3446809,3926097,2,2,1
1830243,3,3446869,3926163,1,1,1
1830243,3,3446870,3926164,2,2,1
1830243,3,3446870,3926165,3,2,2
1831161,3,3448666,3928361,1,1,1
1831161,3,3448667,3928362,2,2,1
1831660,3,3449621,3929496,1,1,1
1831660,3,3449622,3929497,2,2,1
1831698,3,3449692,3929582,1,1,1
1831698,3,3449693,3929583,2,2,1
1832302,3,3450860,3930972,1,1,1
1832302,3,3450861,3930973,2,2,1
1832348,3,3450955,3931089,1,1,1
1832348,3,3450956,3931090,2,2,1
1833315,3,3452699,3933230,1,1,1
1833381,3,3452805,3933358,1,1,1
1833381,3,3452806,3933359,2,2,1
1833535,3,3453091,3933696,1,1,1
1833535,3,3453092,3933697,2,2,1
1833535,3,3453093,3933698,3,3,1
1833535,3,3453094,3933699,4,4,1
1833678,3,3453351,3934009,1,1,1
1833867,3,3453707,3934435,1,1,1
1833867,3,0,3934436,2,,1
1833899,3,3453766,3934503,1,1,1
1833899,3,3453767,3934504,2,2,1
1833899,3,3453767,3934505,3,2,2
1833971,3,3453899,3934674,1,1,1
1833971,3,3453900,3934675,2,2,1
1833979,3,3453916,3934696,1,1,1
1833979,3,3453917,3934697,2,2,1
1833986,3,3453930,3934714,1,1,1
1833986,3,3453931,3934715,2,2,1
1833986,3,3453931,3934716,3,2,2
1834003,3,3453959,3934752,1,1,1
1834003,3,3453960,3934753,2,2,1
1834029,3,3453999,3934799,1,1,1
1834029,3,3454000,3934800,2,2,1
1834096,3,3454139,3934963,1,1,1
1834096,3,3454140,3934964,2,2,1
1834202,3,3454350,3935224,1,1,1
1834202,3,3454351,3935225,2,2,1
1834407,3,3454750,3935704,1,1,1
1834407,3,3454750,3935705,2,1,2
1834440,3,3454816,3935781,1,1,1
1834440,3,3454817,3935782,2,2,1
1834440,3,3454817,3935783,3,2,2
1834574,3,3455078,3936093,1,1,1
1834574,3,3455079,3936094,2,2,1
1834574,3,3455079,3936095,3,2,2
1834655,3,3455237,3936289,1,1,1
1834655,3,3455238,3936290,2,2,1
1834655,3,3455238,3936291,3,2,2
1834655,3,3455238,3936292,4,2,3
1834655,3,3455238,3936293,5,2,4
1834846,3,3455611,3936733,1,1,1
1834858,3,3455630,3936755,1,1,1
1834858,3,3455631,3936756,2,2,1
1835060,3,3455994,3937146,1,1,1
1835061,3,3455995,3937147,1,1,1
1835182,3,3456216,3937389,1,1,1
1835182,3,3456217,3937390,2,2,1
1835197,3,3456247,3937422,1,1,1
1835197,3,3456248,3937423,2,2,1
1835205,3,3456264,3937439,1,1,1
1835211,3,3456274,3937450,1,1,1
1835211,3,3456275,3937451,2,2,1
1835211,3,3456275,3937452,3,2,2
1835217,3,3456284,3937462,1,1,1
1835225,3,3456296,3937474,1,1,1
1835225,3,3456297,3937475,2,2,1
1835231,3,3456309,3937489,1,1,1
1835231,3,3456309,3937490,2,1,2
1835315,3,3456464,3937657,1,1,1
1835316,3,3456465,3937658,1,1,1
1835316,3,3456466,3937659,2,2,1
1835322,3,3456476,3937669,1,1,1
1835322,3,3456477,3937670,2,2,1
1835330,3,3456491,3937688,1,1,1
1835330,3,3456492,3937689,2,2,1
1835332,3,3456495,3937692,1,1,1
1835374,3,3456574,3937776,1,1,1
1835374,3,3456575,3937777,2,2,1
1835382,3,3456590,3937794,1,1,1
1835382,3,3456591,3937795,2,2,1
1835386,3,3456598,3937805,1,1,1
1835459,3,3456732,3937947,1,1,1
1835459,3,3456733,3937948,2,2,1
1835471,3,3456753,3937968,1,1,1
1835471,3,3456754,3937969,2,2,1
1835511,3,3456831,3938057,1,1,1
1835511,3,3456832,3938058,2,2,1
1835592,3,3456989,3938231,1,1,1
1835592,3,3456990,3938232,2,2,1
